Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
part1.csv:/search/thrombosis vaccine,5,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/trichomonads,5,2,00:00:05,0,0.00%,20.00%,$0.00
part1.csv:/search/trigger diabetes,5,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/twice infection,5,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccination long-haul,5,2,00:00:00,1,0.00%,40.00%,$0.00
part1.csv:/search/vaccine effectiveness against,5,2,00:00:04,0,0.00%,20.00%,$0.00
part1.csv:/search/vaccine infection,5,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:"/search/vaccine"" AND ""infection",5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/variant of concern,5,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Vinblastine,5,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Vincristine,5,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Wastewater modelling,5,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/what are the symptoms of long covid,5,2,00:00:00,0,0.00%,40.00%,$0.00
part1.csv:"/search/""long COVID""",4,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:"/search/""long covid"" children",4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:"/search/""Long covid"" vaccine",4,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:"/search/""mass spectrometry""",4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:"/search/""supporting cell""",4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:"/search/(“child” OR “infant” OR “adolescent” OR “children” OR “infants” OR “adolescents” OR “pediatric patient” OR “pediatric patients” OR ""adolescence"" OR “youth” OR “youths” OR “juvenile” OR “childhood” OR “teenager” OR “teenagers” OR “teen” OR “teens” OR “preschool child” OR “neonate” OR “newborn” OR “baby” OR ""babies"" OR “pediatric” OR “pediatrics” OR “paediatric” OR “paediatrics” OR ""toddler"" OR ""toddlers"" OR ""kids"" OR ""student"" OR ""students"") AND (""post-acute COVID"" OR ""postacute COVID"" OR ""post COVID-19 syndrome"" OR ""post COVID syndrome"" OR ""long-COVID"" OR ""post-COVID"" OR ""chronic COVID"" OR ""prolonged COVID"" OR ""persistent COVID"" OR ((""long hauler"" OR ""longhauler"" OR ""long haulers"" OR ""longhaulers"" OR ""long haul"" OR ""longhaul"" OR ""post-acute sequelae"" OR ""postacute sequelae"" OR ""PASC"" OR ""long term effects"" OR ""long-term sequelae"" OR ""long-term complications"" OR ""long term symptoms"" OR ""post-viral"") AND (""COVID"" OR ""COVID19"" OR ""coronavirus disease 2019"" OR ""SARS-CoV-2"" OR ""2019-nCoV"" OR ""SARS nCoV2"" OR ""coronavirus"")))",4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/(rehabilitation or telerehabilitation) AND (post Covid OR long Covid),4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/10.1002/cti2.1189,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/10.1016/j.cell.2021.02.032,4,1,00:00:45,0,0.00%,0.00%,$0.00
part1.csv:/search/10.7326/m20-6169,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/1122,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/39kDa,4,1,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/A cognitive developmental approach to morality: investigating the psychopathlity,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/AAV,4,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/abnormal smears,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/accelerate heart rate,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/adverse masks,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/ai,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/alpha 1 antitrypsin,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/ameboid,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:"/search/Analytical approximation for invasion and endemic thresholds and the optimal control of epidemics in spatially explicit individual-based models",4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/anaphylaxis vaccine,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/anti-S1 specific antibodies,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/antibodies innon responders,4,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/antibody enhancement,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Antibody responses to SARS-CoV-2 vaccination,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/antidepressant,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Antigen mutation,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/api,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/arbidol,4,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/ascariasis,4,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/asthma,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/asymptomatic rapid antigen,4,2,00:00:00,0,0.00%,50.00%,$0.00
part1.csv:/search/B.1.351 symptoms,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/B.1.617.2,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/B.1.617.2.1,4,1,00:00:37,0,0.00%,0.00%,$0.00
part1.csv:/search/B.1.621,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/b12,4,1,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/backward contact tracing,4,1,00:00:15,0,0.00%,0.00%,$0.00
part1.csv:/search/backwards contact tracing,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/bahram,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Bamlanimivab,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/bernard-valnet,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Brain,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/breakthough,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/breathlesness,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Broad host range of SARS- CoV-2 predicted by comparative and structural analysis of ACE2 in vertebrates,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/C-FLIP cancer,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/C-FLIP Treg,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Camel,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/caragelose,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/cardiovascular AND post-covid,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/cardivascular,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/cases,4,1,00:01:11,0,0.00%,0.00%,$0.00
part1.csv:/search/child long-covid,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/children school,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:"/search/children metanalysis",4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Cincinnati,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/CIRAD,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/cleavage air pollution,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Clinical characteristics hospitalised patients,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Clofazimine,4,2,00:00:15,0,0.00%,0.00%,$0.00
part1.csv:/search/co-sleeping,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/COG3,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/COG8,4,2,00:00:04,0,0.00%,25.00%,$0.00
part1.csv:/search/colchocene,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/community-based phenotypic,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/comparison,4,1,00:00:46,0,0.00%,0.00%,$0.00
part1.csv:/search/COMPASS-31,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/comprehensive investigations revealed consistent pathophysiological alterati,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/convalescent plasam,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Corona and eye,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/coronaimpfung diverticulitis,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/covid and eye,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Covid cavvine,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/covid forecasting google trends,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/covid long haul,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Crotty,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/cycle threshold,4,2,00:00:05,1,0.00%,0.00%,$0.00
part1.csv:/search/Daily case count by state,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/delay between vaccines,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/delta symptoms young,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/delta transmissibility,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/depression,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Diana Rose E. Ranoa,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/diarrhoea,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Distribution of ACE2 in camels,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/dog disting,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/double mask,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/double-mask,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/drugs,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/duration protection,4,1,00:00:30,0,0.00%,0.00%,$0.00
part1.csv:/search/dysautonomie,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/dysgeusia vaccine,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/ecology,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/ecology of bats,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/effectiveness hospitalization,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/effectiveness review,4,1,00:03:59,0,0.00%,0.00%,$0.00
part1.csv:/search/effectivness,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/ehealth,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/EHR and PASC,4,1,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/eliquis,4,1,00:00:31,0,0.00%,0.00%,$0.00
part1.csv:/search/Emily Bruce,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/employment,4,1,00:00:26,0,0.00%,0.00%,$0.00
part1.csv:/search/Endotracheal Ultraviolet,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/epidemiological parameters,4,1,00:00:54,0,0.00%,0.00%,$0.00
part1.csv:/search/escape,4,1,00:00:21,0,0.00%,0.00%,$0.00
part1.csv:/search/ethic*,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/ethnicity,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/euro 2020,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/eurocup,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/evaluation forecast,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/evaluation probabilistic forecasts,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/evolution vaccine,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Excess mortality,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/exercise run,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/exit strategies,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/eye and COVID-19,4,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/FastDetect qPCR,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Fergusson,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/FFP3,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Fichorova,4,1,00:07:24,0,0.00%,0.00%,$0.00
part1.csv:/search/flu,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/forecast validation,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/gefitinib,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Germany Hospitalised Covid-19,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/grl0617,4,1,00:06:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Hanoi,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/health service impacts,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/healthcare vaccination rate,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/heart covid,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/heidenhains,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/HEPA,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/heparan,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/heterologous AND homologous AND safe,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/hollingsworth,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/HONGO NEGRO,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/hormonal changes vaccine,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:"/search/Hospitalised Covid patients United States",4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Hospitalised Covid-19 patients in Germany,4,1,00:00:37,0,0.00%,0.00%,$0.00
part1.csv:/search/hydrox,4,1,00:00:22,0,0.00%,0.00%,$0.00
part1.csv:/search/hydroxychloroquine zinc,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/hypertension vaccine,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Icodr,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/IL27,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/immune response,4,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/immune system,4,2,00:00:25,1,0.00%,0.00%,$0.00
part1.csv:/search/immunity,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/immunosupression,4,1,00:00:21,0,0.00%,0.00%,$0.00
part1.csv:/search/impact of daily high dose oral vitamin D,4,2,00:00:01,1,0.00%,0.00%,$0.00
part1.csv:/search/imperial college london,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/incubation period delta,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/indonesia,4,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/infectiousness,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/inoculation theory,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/interferon-lambda,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/intervention,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/intravasal,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/israel,4,1,00:00:16,0,0.00%,0.00%,$0.00
part1.csv:/search/iverm,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/kids,4,1,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/laausanne,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/lancet public health,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Lane hydroxychloroquine,4,1,00:09:44,0,0.00%,25.00%,$0.00
part1.csv:/search/Long covid An early,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid and ehr,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid and social determinants,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/long COVID assessment,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid asymptomatic,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid mri,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid nerves,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid vaccination,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:"/search/LONG COVID"" OR ""LONG HAUL"" OR ""LONG HAULER"" OR ""LONG TERM"" OR ""POST COVID"" OR ""POST ACUTE"" OR ""POST INFECTIOUS",4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/long hau,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/long haul and slepp,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Long-term sequelae of SARS in children.,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/M153T,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/macro,4,1,00:00:36,0,0.00%,0.00%,$0.00
part1.csv:/search/maternal anxiety,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/maternal fetal interface,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Matthew S Nurse,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/mccollough,4,1,00:00:44,0,0.00%,0.00%,$0.00
part1.csv:/search/mcculloch,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/mcmc,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/medicago,4,2,00:00:00,1,0.00%,50.00%,$0.00
part1.csv:/search/medrxiv,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/meta-analysis tocilizumab clinical trial,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/misinformation prevelence,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/moderna delta,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Moderna delta,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/money,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/moral,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/mucormycosis,4,1,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/Myocyrditis post vaccination,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/natural origins,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/neuronitis,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/neuropsych,4,2,00:00:13,1,0.00%,0.00%,$0.00
part1.csv:/search/niclosamide,4,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/nitrosative,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/non responders,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/non-responders,4,1,00:00:46,0,0.00%,0.00%,$0.00
part1.csv:/search/nursing,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/nutraceuticals,4,1,00:00:30,0,0.00%,0.00%,$0.00
part1.csv:/search/OAS1,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/obesity,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/ocular diagnosis,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/old,4,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/One Health,4,1,00:00:39,0,0.00%,0.00%,$0.00
part1.csv:/search/orf1ab-sense,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/ortostatic intolerance,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/oxford sara walker,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:"/search/pandemic severity"" lockdown m",4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/parameter estimation,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/patrinos,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/pediatrics,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/PEM,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/persons who had covid19 and get vaccine,4,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/peter mccollough,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:"/search/Physical cognitive and mental health impacts of COVID-19",4,2,<00:00:01,1,0.00%,25.00%,$0.00
part1.csv:/search/PIMS,4,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/pink eye,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Placental,4,1,00:02:04,0,0.00%,0.00%,$0.00
part1.csv:/search/plos one,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/post acute sequelae,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Post covid syndrome,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/post-acute systematic,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Postvaccination arthritis,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/pots,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/probert,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/prolong detection,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/prophylactic anticoagulation,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/protease inhibitors,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/proteolytic activation,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/rapid antigen asymtomatic,4,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/Rehabilitation *survivors.,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/religious,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/remdesivir transcriptome,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/replication,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/restaurant,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Rezwanuzzaman Laskar,4,2,<00:00:01,1,0.00%,25.00%,$0.00
part1.csv:/search/Risk factor oxygen,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/risk factors severity,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/robin thompson,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/rs2285666,4,1,00:00:19,0,0.00%,0.00%,$0.00
part1.csv:/search/Rt dhawan,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/safety of Coverversionen-19 vaccine in lactating mothers,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/saliva versus antigen,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/salivary rapid test,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/sarcopenia and covid,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/SARS surrogate,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/SARS-Cov-2 and obesity,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:"/search/SARS-CoV-2 reinfection in a cohort of 43000",4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/sarscov 2 aerosols,4,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/school reporting,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/sciatic,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/sebastian gonzalez,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/seiamak bahram,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/sepsis cytokine,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/serological,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/seroprevalence homelessness,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/sharing,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/side effects,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/side effects vaccination,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/skin problems in breastfeed children after vaccination of mother,4,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/spain,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/spillover,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/strain,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/subnational travel,4,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/suprunenko,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/surface transmission,4,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/swimming pool,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/symptom delta,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Systematic review ivermectin,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/T-cell,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/The COVID-19 Sequelae: A Cross-Sectional Evaluation of Post-recovery Symptoms and the Need for Rehabilitation of COVID-19 Survivors,4,1,00:00:32,0,0.00%,0.00%,$0.00
part1.csv:/search/thiamine,4,1,00:00:23,0,0.00%,0.00%,$0.00
part1.csv:/search/thyroditis,4,2,00:00:00,1,0.00%,50.00%,$0.00
part1.csv:/search/time delay distributions,4,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/timing of second dose,4,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/titer antic*,4,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/tmprss fine particulte,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/treatment,4,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/treatment long covid,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Triclocarban,4,2,00:00:00,1,0.00%,50.00%,$0.00
part1.csv:/search/trujillo-roldán,4,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccination eye COVID-19,4,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine 2° dosis,4,1,00:00:02,0,0.00%,0.00%,$0.00
